,카테고리,time,강수량
0,이탈리아음식,2024-05-27,0.0
1,이탈리아음식,2024-07-05,4.1
2,이탈리아음식,2024-06-13,0.0
3,이탈리아음식,2024-06-19,0.0
4,이탈리아음식,2024-05-03,0.0
5,이탈리아음식,2024-05-12,0.0
6,이탈리아음식,2024-06-07,0.8
7,이탈리아음식,2024-05-17,0.0
8,이탈리아음식,2024-06-01,0.0
9,이탈리아음식,2024-06-16,0.0
10,이탈리아음식,2024-06-17,0.0
11,이탈리아음식,2024-04-19,0.0
12,이탈리아음식,2024-07-06,2.8
13,이탈리아음식,2024-03-29,1.4
14,이탈리아음식,2024-06-14,0.0
15,이탈리아음식,2024-06-27,0.0
16,이탈리아음식,2024-06-22,16.5
17,이탈리아음식,2024-07-07,28.7
18,이탈리아음식,2024-06-04,0.0
19,이탈리아음식,2024-06-29,38.3
20,이탈리아음식,2024-04-06,0.0
21,이탈리아음식,2024-07-05,4.1
22,이탈리아음식,2024-05-30,0.0
23,이탈리아음식,2024-06-25,0.0
24,이탈리아음식,2024-05-28,0.0
25,이탈리아음식,2024-06-23,5.1
26,이탈리아음식,2024-05-11,31.7
27,이탈리아음식,2024-03-14,0.0
28,이탈리아음식,2024-06-06,0.0
29,이탈리아음식,2024-06-06,0.0
30,이탈리아음식,2024-05-18,0.0
31,이탈리아음식,2024-07-02,65.1
32,이탈리아음식,2024-05-17,0.0
33,이탈리아음식,2024-02-21,17.8
34,이탈리아음식,2024-06-30,32.2
35,이탈리아음식,2024-03-11,0.0
36,이탈리아음식,2024-05-02,0.0
37,이탈리아음식,2024-06-23,5.1
38,이탈리아음식,2024-06-08,16.9
39,이탈리아음식,2024-07-05,4.1
40,이탈리아음식,2024-07-04,3.6
41,이탈리아음식,2024-06-05,0.0
42,이탈리아음식,2024-07-04,3.6
43,이탈리아음식,2024-02-06,0.2
44,이탈리아음식,2024-06-15,6.1
45,이탈리아음식,2024-03-27,0.0
46,이탈리아음식,2024-06-18,0.0
47,이탈리아음식,2024-06-16,0.0
48,이탈리아음식,2024-06-01,0.0
49,이탈리아음식,2024-06-08,16.9
50,이탈리아음식,2024-06-12,0.0
51,이탈리아음식,2024-06-12,0.0
52,이탈리아음식,2024-05-18,0.0
53,이탈리아음식,2024-06-22,16.5
54,이탈리아음식,2024-05-17,0.0
55,이탈리아음식,2024-04-25,0.0
56,이탈리아음식,2024-05-22,0.0
57,이탈리아음식,2024-06-17,0.0
58,이탈리아음식,2024-02-16,0.0
59,이탈리아음식,2024-04-18,0.0
