,일시,합계 3시간 신적설(cm)
0,2019-12-07,눈
1,2020-01-01,눈
2,2020-01-19,눈
3,2020-02-04,눈
4,2020-02-05,눈
5,2020-02-16,눈
6,2020-02-17,눈
7,2020-02-18,눈
8,2020-12-13,눈
9,2020-12-14,눈
10,2020-12-15,눈
11,2020-12-16,눈
12,2020-12-17,눈
13,2020-12-18,눈
14,2021-01-04,눈
15,2021-01-05,눈
16,2021-01-06,눈
17,2021-01-07,눈
18,2021-01-08,눈
19,2021-01-09,눈
20,2021-01-10,눈
21,2021-01-11,눈
22,2021-01-12,눈
23,2021-01-13,눈
24,2021-01-17,눈
25,2021-01-18,눈
26,2021-01-28,눈
27,2021-01-29,눈
28,2021-01-30,눈
29,2021-02-03,눈
30,2021-02-04,눈
31,2021-02-05,눈
32,2021-02-16,눈
33,2021-02-17,눈
34,2021-02-18,눈
35,2021-03-01,눈
36,2021-03-02,눈
37,2021-12-18,눈
38,2021-12-19,눈
39,2021-12-20,눈
40,2021-12-29,눈
41,2022-01-02,눈
42,2022-01-10,눈
43,2022-01-11,눈
44,2022-01-12,눈
45,2022-01-17,눈
46,2022-01-18,눈
47,2022-01-19,눈
48,2022-01-20,눈
49,2022-01-31,눈
50,2022-02-01,눈
51,2022-02-02,눈
52,2022-02-19,눈
53,2022-03-19,눈
54,2022-12-03,눈
55,2022-12-06,눈
56,2022-12-13,눈
57,2022-12-14,눈
58,2022-12-15,눈
59,2022-12-16,눈
60,2022-12-17,눈
61,2022-12-18,눈
62,2022-12-19,눈
63,2022-12-20,눈
64,2022-12-21,눈
65,2022-12-22,눈
66,2022-12-23,눈
67,2022-12-24,눈
68,2022-12-25,눈
69,2022-12-26,눈
70,2022-12-27,눈
71,2022-12-28,눈
72,2023-01-06,눈
73,2023-01-07,눈
74,2023-01-15,눈
75,2023-01-16,눈
76,2023-01-26,눈
77,2023-01-27,눈
78,2023-12-16,눈
79,2023-12-19,눈
80,2023-12-20,눈
81,2023-12-21,눈
82,2023-12-22,눈
83,2023-12-23,눈
84,2023-12-24,눈
85,2023-12-25,눈
86,2023-12-30,눈
87,2023-12-31,눈
88,2024-01-01,눈
89,2024-01-06,눈
90,2024-01-07,눈
91,2024-01-08,눈
92,2024-01-09,눈
93,2024-01-10,눈
94,2024-01-11,눈
95,2024-01-17,눈
96,2024-01-18,눈
97,2024-01-22,눈
98,2024-02-05,눈
99,2024-02-06,눈
100,2024-02-15,눈
101,2024-02-21,눈
102,2024-02-22,눈
103,2024-02-23,눈
104,2024-02-24,눈
105,2024-02-25,눈
