가게 이름,댓글,작성 날짜
이탈리아음식,10년 전부터 종종 바비레드 레드크림파스타 먹으러 가는데 한결같이 맛있어요ㅎㅎ 강남본점 리뉴얼 오픈 되어서 방문했는데 모던하고 감각적인 인테리...,5.27.월
이탈리아음식,"음식도 맛있고 분위기도 정말 좋아요!!
그리고 룸도 있어서 모임하기 좋겠더라구요~
다음에 또 방문하고 싶은 맛집~~추천합니당",7.5.금
이탈리아음식,강남역 데이트장소로도 유명한 바비레드에서 인기많 은 레드크림파스타 곱빼기로 먹었어요!! ㅋㅋ 양도 많 고 너무 맛있는데 갈비까지 통으로 많이 들어있...,6.13.목
이탈리아음식,"인테리어 깔끔하고 맛과 가성비 좋은 곳 레드크림 파
스타 로제맛 나고 양도 많아요/맵기 조절가능 밥이 빨
간색~ 아하 그래서 밥이레드군요 ㅎㅎ 샐러드 ...",6.19.수
이탈리아음식,"레드크림파스타 (소갈비가 들어가있고, 레드크림 파 스타가 단계별로 선택 가능하고 너무 맛있었어요 조 합이 아주 훌륭해요 !! 레드크림 파스타 (곱빼...",5.3.금
이탈리아음식,리뉴얼 됐는지 인테리어가 더 깔끔해졌어요! 메뉴도 업그레이드…? 세트메뉴 먹었는데 가성비는 그다지 못 느꼈고… 샐러드는 맛있었어요! 파스타는 덜...,5.12.일
이탈리아음식,샐러드랑 파스타 너무 맛있어요!!! 분위기도 좋아서 왜 데이트하러 많이들 오시는지 알겠더라구요ㅎㅎ시그 니처메뉴인 파스타는 소스랑 면도 잘어울리지...,6.7.금
이탈리아음식,양도진짜많고 고기도 맛있고 파스타도 맛있어요 파 스타가 좀 퓨전느낌인데 매운맛 좋아하시는분들 강추 합니다 청첩장모임 하기에도 너무 이쁜곳 이벤...,5.17.금
이탈리아음식,친구 추천받고 왔는데 말듣고 오길 정말 잘했어요! 처 음에 생각하고 온 메뉴 두개도 마침 딱 세트로 묶여있 어서 확실이 이게 맛있는 메뉴구나! 했는데 플...,6.1.토
이탈리아음식,"친구랑 엄청 자주 오던 곳인데 인테리어가 밝게 바꼈
다 데이트 하는 분들이 오기 좋을듯 맵기조절도 돼서 
매운거 좋아하는 사람 무조건 와야됨 추천!",6.16.일
이탈리아음식,일단 무엇보다 어제 6/17 오후 방문했을때 홀서빙하 시던 남자직원분이랑 여자직원분이 친절하셔서 기분 좋았습니다:) 근래 들어서 갔던 식당들 중 직원...,6.17.월
이탈리아음식,레드갈비 파스타 시켰어요. 4단계 있고 신라면 맵기 시켰습니다. 신라면에 청양고추 조금 넣은 듯한 맵기 같아요. 맛은 깔끔하고 인테리어가 깔끔하고 ...,4.19.금
이탈리아음식,"멋지고 맛난곳
너무 좋았어요!!!",7.6.토
이탈리아음식,분위기도 맛도 좋았던 바비레드! 정말 밥이 빨갛더라 구요. 파스타를 주문하면 밥은 무제한! 파스타먹은 후 밥 비벼 먹으니 리조또같은 느낌으로 코스로 즐...,3.29.금
이탈리아음식,고기가 맛있네요 샐러드도 싱싱하고 파스타는 제일 순한맛으로 해도 저희에겐 매웠어요,6.14.금
이탈리아음식,"청모하기 좋아요
파스타랑 스튜 맛있어요 ^^",6.27.목
이탈리아음식,어렸을 때 정말 자주 가던 추억의 바비레드 오랜만에 왔는데 여전히 맛있네용 !! ㅎㅅㅎ 깔끔한 화이트 인테리어로 바뀌었군용,6.22.토
이탈리아음식,"너무 맛잇어요 일단 로제파스타는 딱 잘 익고 맛잇게 매운 로제 소스랑 바부려 먹어스 진짜 맛잇구요,,,,,, 스튜에 있는 고기가 무친몸입니디 고기 왜케 부...",7.7.일
이탈리아음식,"넘 맛있는 바비레드....
리뉴얼후 매장분위기도 넘이쁘고 사진도 잘나와요
모임하기딱좋아요✌🏻",6.4.화
이탈리아음식,강남오면 여기맘 와용! 존맛탱!,6.29.토
이탈리아음식,"파스타와 스테이크 가성비 맛집이에요 !! 이전에도 방 문한 적이 있는데, 리뉴얼된 매장에는 처음 방문했어 요 매장이 더 넓고 쾌적해져서 좋더라구요〰️ ...",4.6.토
이탈리아음식,인테리어가 이쁘고 음식이 다양하고 독특해서 한번쯤 와볼만해요 !!,7.5.금
이탈리아음식,느끼하면서 매운거 먹고 싶을때 딱이에요!!! 밥까지 비며먹으니까 넘 맛있어요,5.30.목
이탈리아음식,"너무 맛있습니다... 이 맛을 못 끊습니다... 밥을 비벼
먹습니다... 또 한번 반합니다.... 최고의 맛..최고의 파
스타.. 인테리어도 샹들리에 추가 설치로 더 예...",6.25.화
이탈리아음식,점심에 팀회식 왔는데 매장도 청결하고 메뉴도 깔끔 하게 나와서 좋아요. 파스타 안에 고기 양도 먹다보니 엄청 많았고 질기지 않고 부드러웠어요. 소스 ...,5.28.화
이탈리아음식,직원들이 친절하고 밥이 정말 맛있어요. 스테이크 샐러드 의 스테이크가 고소해요.!,6.23.일
이탈리아음식,"갈비가 들어간 파스타랑 스튜를 먹었는데 메뉴가 독
특하면서도 매콤한 소스랑 어우러지는게 신기했어요 
메뉴가 맛있고 양도 꽤 많아서 다먹고 나니 엄...",5.11.토
이탈리아음식,바비레드 레드 크림 파스타 최곱니다 ㅎㅎ 맵찔이라 기본(신라면 맵기정도) 했는데 적당한 매콤함이에요.ᐟ .ᐟ레드크림파스타 이거 곱배기로 하시면 둘이...,3.14.목
이탈리아음식,음식이 정갈하고 너무 맛있어요ㅠㅠ 갈비도 너무 부드럽고 같이 간 사람들 다들 맛있다고 난리였어요!! 계속 생각나는 맛이에요🔥 다음에 또 먹으려구요~!!,6.6.목
이탈리아음식,"음식이 바로나오고 정갈하고 직원도 친절해서 좋아요
그리고 매장도 넓어용👍",6.6.목
이탈리아음식,"우선 위치적으로는 강남역보단 신논현역 부근이고, 가는 길이 언덕이 좀 있어서 오르기가 힘들었어요. 인 테리어는 괜찮았고, 가게 앞에 전신거울이라든...",5.18.토
이탈리아음식,"음식이 너무 맛있어요
특히 파스타 소스에 밥 비벼 먹음 환상입니다 ^^",7.2.화
이탈리아음식,오랜만에 다시 방문한 바비레드인데 늘 먹던 메뉴로 주문했는데 역시 양도 많고 재료도 신선해서 맛있어 요 맵기도 고를 수 있어서 원하는 맵기로 선택...,5.17.금
이탈리아음식,항상 맛있게 먹는 바비레드!! 오랜만에 먹으러 왔는데 인테리어도 멋지게 바뀌었고 여전히 음식도 맛있어요 !! 진원분들도 친절해서 먹는동안 불편한 점이 ...,2.21.수
이탈리아음식,분위기도 좋고 음식도 맛있어요!!,6.30.일
이탈리아음식,강남역 맛집하면 바비레드 죠 ! 고기 두께가 진짜 두껍 고 파스타 맵기가 매콤해서 너무 맛있었어요 오늘 생 일이라서 방문 했는데 공주 느낌도 나고 대접 ...,3.11.월
