가게 이름,댓글,작성 날짜
"멕시코,남미음식",파히타 B세트 먹었는데 진짜 너무 맛있어요 ㅠㅠ ㅠ ㅠ 들어가는 입구부터 무슨 다른세계로 들어가는 분 위기였는데 인테리어도 너무 좋았어요 튿히 음...,23.12.31.일.일
"멕시코,남미음식",갓잇 오 완전 맛있었어요. 저 타고 좋아하는데 요긴 진짜 짱짱!! 전날 가려다가 브렉탐 급박해서 딴 곳 갔 는데 완전 만족요~ 또 봐요 봐요. 🌮 🌮 🌮 ...,6.22.토
"멕시코,남미음식",도산공원 주변 고급스럽고 분위기 좋은 멕시칸 요리 맛집 푸짐하고 먹음직한 플레이팅에 신선한 재료들이 가득~ 또띠아에 다양한 소스 재료들 조합해서 ...,6.11.화
"멕시코,남미음식",친구가 강력추천해서 이번 서울여행에서 가장 기대가 컸던집이예요 ㅠㅠ 역시 명불허전이다.. 갓잇 갓잇하 는 이유가 있네요 ! 먹어본 파히타중 가장 맛있...,6.15.토
"멕시코,남미음식",타코가 맛있는 음식이란걸 처음 깨닫게 된곳 🤭🤭 위치는 젠틀몬스터 도산공원점 바로 옆건물이고 찾 기 어렵다 싶을때 이정표 나와서 반가웠네요 ...,5.22.수
"멕시코,남미음식",외국에서 온 친구가 먹고 싶다고 해서 왔어요~!🥰 3- 4군데 이상 여러 지점 가봤지만 개인적으로 도산공원 점이 인테리어나 맛이나 최고 같아요🤤 엔칠...,4.29.월
"멕시코,남미음식",맛있어요 ㅋㅋ 오랜만에 타코먹으러 왔는데 가성비도 좋고 매장도 쾌적해요. 인테리어는 중동에 놀러온 것 같은 느낌이고~ 칠리향이 강하지않아 부담없...,6.29.토
"멕시코,남미음식","음식이 맛있네욤 ~~~ 🩷🩷 친절하고 응대도 빠르고 
음식도 빠르게 나오는 편이에용 🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻
🫶🏻🫶🏻🫶🏻",6.27.목
"멕시코,남미음식","도산공원점은 두번째 방문인데 올때마다 만족해요 :) 
친절하고 넓고 깨끗함! 맛은 기본입니당 👍🏻 리뷰쓰고
 에이드도 받으세요오😘",6.22.토
"멕시코,남미음식","갓잇!!제가 도산에 오면 꼭먹는 최애 멕시코 맛집!
타코가 너무 너무맛있어요ㅎㅎ 
요즘은 웨이팅도적어져서 더 좋아요!",7.6.토
"멕시코,남미음식","도산공원 맥시칸 맛집 갓잇에 식사하러 왔어요. 푸~ 짐하고 먹음직스러운 플레이팅이 정말 마음에 들어요 . 과카몰리와 살사소스, 사워크림도 정말 맛있...",4.14.일
