가게 이름,댓글,작성 날짜
패밀리레스토랑,"13년만에 다시 왔네요ㅎㅎ 먹으려고 했던 메뉴가 없
어져서 아쉽지만 그래도 다른 메뉴들도 너무 맛있네
요ㅎㅎ 아 그리고 러시아 맥주가 없어서 아쉬웠...",6.13.목
패밀리레스토랑,"사람 입맛마다 맞을지 안 맞을지는 잘 모르지만 저랑 
회사동료들 입맛엔 맛있었어용ㅎㅎ 가격대비 양은 좀
 작은편? 분위기 있고 특색있음ㅎㅎ",4.19.금
패밀리레스토랑,"러시아 음식이 이렇군요?!?!
넘나 새롭고 신기해요!!",6.7.금
패밀리레스토랑,술도 좋고 음식도 좋고,6.12.수
패밀리레스토랑,러시아 전통 장식들과 전통의상 입은 직원분들 덕분 에 러시아 느낌 뿜뿜! 러시아메뉴는 처음인데 메뉴를 잘 골라서 그런지 전혀 낯선 맛이 아니었어요! *...,1.20.토
패밀리레스토랑,이태원에 있는 러시아 식당 트로이카! 매력있네요 💗,4.10.수
패밀리레스토랑,보르쉬 스프는 맛있어요. 전체적으로 가격대비 양은 많이 적어요. 만두튀김은 크기는 큰데 속이 거의 없는 공갈만두라고 생각하시면 될듯해요. 오보쉬에...,3.31.일
패밀리레스토랑,👍진심 러시아 여행 온 듯한 느낌을 받을 수 있는 곳! 👍그리고 현지 종업원분의 친절함에 앉자마자 기분 좋아짐! 👍그냥 식당보단 러시아 문화를 체험...,23.9.9.토.토
패밀리레스토랑,분위기 제대로,3.29.금
패밀리레스토랑,맛있어요 다만 비싸구 양이 적어요,3.21.목
패밀리레스토랑,"러시아 음식, 이태원4번출구 도보3분, 에피타이저, 샐
러드, 메인메뉴까지 골고루 먹었는데 맛남!!!! 가족, 
연인, 친구들이랑 가도 좋은 가게 입니다, 추천...",23.9.30.토.토
패밀리레스토랑,러시아 음식 먹어보고 싶어서...,23.11.19.일.일
패밀리레스토랑,음식이 맛있어요,23.12.2.토.토
패밀리레스토랑,러시아분들이 서빙하고 직접 음식을 만드는 러시아요리집. 일단 부담없이 먹을수있어요. 분위기 독특하고! 가격대는 좀 있어요,23.10.1.일.일
패밀리레스토랑,러시아 현지음식이 먹어보고싶어서 찾아간 곳! 따뜻 한 색감의 인테리어에 러시아 전통 인형 같은 소품으 로 가득한 공간에 현지인이 서빙해주시고 현지...,23.5.26.금.금
패밀리레스토랑,러시아 음식은 이국적이지만 맛있습니다.,23.12.23.토.토
패밀리레스토랑,러시아 음식!,1.15.월
패밀리레스토랑,친절하고 맛있게 먹었어요,23.11.24.금.금
패밀리레스토랑,"맛있어요. 한국 사람 입맛에도 잘 맞고, 종업원 분들도 친절. 또 찾고 싶음.",23.11.19.일.일
패밀리레스토랑,러시아 음식 처음 먹어보는데 특히 저 스튜가 맛있어요! 종업원이 다 러시아 사람이라 소통은 잘 안돼요 쩝,23.11.2.목.목
패밀리레스토랑,러시아 음식이라 생소해서 긴장하고 갔는데 맛있게 잘 먹었어요. 고기만두 맛있어요. 감자요리는 처음에 향신료 맛이 강했는데 먹다보니 중독성 있더라...,23.6.10.토.토
패밀리레스토랑,,1.20.토
패밀리레스토랑,손님과 같이 갔는데 맛이좋았어요,23.9.9.토.토
패밀리레스토랑,맛있어요,23.12.24.일.일
패밀리레스토랑,러시아음식이 생각보다 맛있네요. 분위기도 색다르고 좋았어요,23.9.28.목.목
패밀리레스토랑,"오랜만에 왔는데 여전히 존맛! 보르쉬 한입 떠먹는 순
간 감동이ㅠㅜ 스메타나도 추가요청드리면 주시구 넘
친절하시구 다좋은데 가격이 많이 올라서 아싑...",23.7.26.수.수
패밀리레스토랑,음식이 너무 만족 스러워요^^*,23.8.6.일.일
패밀리레스토랑,"러시아 전통음식을 한국에서 접하기 쉽지 않은데 먹
어볼 수 있어서 좋았음. 먹은 음식중에서는 삼사가 특
히 만족스러웠다. 홀 직원이 외국인이시지만 한...",23.4.28.금.금
패밀리레스토랑,음식이 맛있어요. 친절합니다. 러시아분위기를 느낄수 있어요.,23.10.2.월.월
패밀리레스토랑,"찌개 같은 거랑 메뉴 하나 맛있게 먹었는데 영수증에 
안 써있네ㅠㅠㅠ아쉽 암튼 맛있음 화장실 넓고 깨끗
함 가격 좀 높은 편 계단 올라가는 게 조금 힘들...",23.7.8.토.토
패밀리레스토랑,제 취향은 아니네요....,23.10.10.화.화
패밀리레스토랑,음식이 다 맛있어요,23.12.29.금.금
