가게 이름,댓글,작성 날짜
이자카야,"요구르트 하이볼 맛있어요!!! 
룸으로 되있어서 얘기하기도 편하고 좋습니당 ㅎㅎ 
많이 안시끄럽고 좋아요",6.22.토
이자카야,대부분이 룸이라 오붓하게 술한잔하면서 대화하기 좋았어요. 안주도 다양하고 술도 다양해서 한번 들어가니 계속 마시게 되는 곳이였어요 ㅎ,5.27.월
이자카야,홍대 공감~♡ 맛집이라 한번 다녀오면 그 맛이 계속 생각나요.. 이번에도 주문한 음식이 모두 맛있어서 지 인들이랑 맛있게 먹으면서 즐거운시간 충분히 ...,2.19.월
이자카야,룸술집이여서 좋고 오꼬노미야끼랑 명란마요 굿👍,6.15.토
이자카야,"사시미 양이 좀 적고 회가 작아서 아쉬웠어요
그래도 두 메뉴 다 맛있었습니다ㅎㅎ",5.16.목
이자카야,기대 안하고 갔는데 넘넘 좋았습니당ㅠㅠ 일단 분위 기가 너무 좋았구 인테리어가 일본술집진짜 와 있는 것처럼 돼있어서 예뻤어요! 안주도 다양하고 맛...,3.5.화
이자카야,타코야키 물회 나베 파스타 어느 것 하나 맛 없는게 없 었어요!!!🥹💕 너무너무 맛있게 잘 먹었습니다!! 프라 이빗한 룸 형식의 방이 아늑해서 가벼운 친구들...,6.23.일
이자카야,프라이빗한 룸에서 먹을수있어서 좋았어요. 친구들이랑 오랜만에 맛있게 잘 먹었습니다.,7.6.토
이자카야,"육회전복물회 맛있어요 전복 쫄깃쫄깃 ㅎㅎ
고등어 봉초밥도 굿굿 대화하기 너무 좋아요
다음에도 오겠습니당",6.23.일
이자카야,"분위기도 좋고 너무 시원한 공간에서 맛있는 음식 먹
고 갑니다!!! 시킨 메뉴 다 맛있게 먹었고 근처 오면 다
시 올 것 같아요!! 🍀🤍친구들이랑 재미있게 ...",6.23.일
이자카야,음식들이 이자카야라고하기에 전문점수준으로 맛있 고 가게분위기도 연인과함께하기에 너무좋고 직원분 들도 너무 친절하셔서 재방문의사10000%에요...,6.17.월
이자카야,친구와 조용히 대화하기 위해 찾아본 룸술집 공감은 방문하자마자 너무 이쁘고 분위기 있는 공간이라 너 무 좋았는데요~ 안주도 맛있고 양도 많아서 정...,1.29.월
이자카야,홍대입구역 이자카야 분위기 좋고 프라이빗 룸이 많 아서 남편과 데이트 즐겁게 했어요. 태블릿으로 주문 신선한 모리아와세 사시미와 국물 진하고 시원...,2.3.토
이자카야,"룸 형태라 술 먹기가 좋네요~~ 다음에도 애용하겠습
니다 홍대에서 편하게 먹으려면 여기로 ~~",7.6.토
이자카야,"음악이 시끄러운것 빼고는 괜찮았습니다
모듬회 맛있어요",5.18.토
이자카야,어묵탕 너무 맛있어요!!! 분위기도 좋고 최고에요!!!,5.17.금
이자카야,분위기 좋고 룸 형식이라 대화하기도 편하고 너무 좋았습니다!! 재방문 의사 100%,7.6.토
이자카야,이것저것 겁나 많이 먹었는데룸이 너무 작아서 좋았어요. 젊은 사람들이 많아요. 프라이빗 하게 놀기 좋아요. 또 가고 싶어요.,3.25.월
이자카야,"양이 좀 적은건 아쉽지만 맛있어 보여용 
분위기 좋아요!!",6.17.월
이자카야,"두번째 방문인데 분위기가 너무 좋고 칠리새우랑 명
란계란말이 시켰는데 맛있었고 특히 명란 계란말이는
특이하고 간단하게 먹기 좋았어요 요구르트하...",7.6.토
이자카야,고등어 초밥 맛있어요 :),6.22.토
이자카야,"메뉴도 다양하고 술 종류도 많아서 좋아요!
룸도 있어서 아늑하게 먹을 수 있어요:)",5.11.토
이자카야,완전 짱짱이에요! 직원분들 다 친절하시구 음식도 맛있어요!! 사케 마시면서 아늑하게 대화하기 좋아요 룸 최고!,6.17.월
이자카야,안주 인당 1개씩 시켰어요 너무 맛있어요~~,7.6.토
이자카야,홍대 주변 음식 퀄리티 높은 술집 이자카야 발견! 흐잡 한 술집아님! 룸형식이어서 분위기도 좋고 서비스도 친절하고 무엇보다 회 모듬을 시켰는데 삼치랑 ...,1.17.수
이자카야,음식이 맛있고 양이 진짜 많아요..!,7.2.화
이자카야,분위기도 좋고 음식도 맛있어요! 홍대에서 방 있는 술집 찾으시면 강추👍,5.23.목
이자카야,"직원분들도 친절하시고 안주도 다양해서 너무 오고 싶었는데 오게되서 넘 좋네용!! 잘먹고 갑니다~~~!! 
분위기 넘 좋아요 룸 방 사용햤는데 아늑하고 좋아요",6.22.토
이자카야,"일단 인테리어가 너무 예쁜데 프라이빗룸이라 더 좋
았어요. 홍대에 프라이빗한 술집 찾으신다면 공감이 
딱이에요! 안주도 넘 맛있고 분위기 좋아서 데...",2.25.일
이자카야,분위기가 너무 좋고 음식도 맛있어요 친구들이랑 왔는데 다음에 연인이랑도 오면 너무 좋을것같아요!:),5.26.일
이자카야,"우니가 진짜 jmt였습니다 맛있고 하이볼도 달다구리
해서 존맛!! +근데 가격이..너무 비싸요ㅠㅠㅠㅠ돈값
하는 느낌은 아님",6.17.월
이자카야,홍대공감 처음 가봤는데 분위기 너무 좋네요. 2명이 가도 룸이용할 수 있어서 데이트 추천하고 싶어요. 음식도 맛있어요. 식사로도 괜찮고 술안주로도 👍,2.6.화
이자카야,입장하자마자 보이는 꽃인테리어가 눈길을 사로잡고 ~ 독립된 공간도 너무 좋았어요~^^ 주문한 치즈해물 오꼬노미야끼와 얼큰소고기나베도 무척 맛있...,23.12.22.금.금
이자카야,"안주가 맛있고 술 종류가 많아요 6시에 왔는데 예약없
이 이용할 수 있었어요 직원분들이 너무 친절해요 추
천!!",5.19.일
