,카테고리,time,강수량,일조합(hr),일조율(%),평균기온(℃),최고기온(℃),계절
0,이탈리아음식,2024-05-27,0.0,9.9,68.3,18.5,22.6,봄
1,이탈리아음식,2024-07-05,4.1,1.4,9.5,23.4,26.1,여름
2,이탈리아음식,2024-06-13,0.0,13.3,90.5,26.4,32.8,여름
3,이탈리아음식,2024-06-19,0.0,13.0,87.8,28.8,35.8,여름
4,이탈리아음식,2024-05-03,0.0,12.8,92.8,19.7,27.9,봄
5,이탈리아음식,2024-05-12,0.0,11.4,80.9,16.6,21.6,봄
6,이탈리아음식,2024-06-07,0.8,7.1,48.3,23.1,28.0,여름
7,이탈리아음식,2024-05-17,0.0,10.8,75.5,18.3,24.9,봄
8,이탈리아음식,2024-06-01,0.0,9.4,64.4,20.7,25.2,여름
9,이탈리아음식,2024-06-16,0.0,13.2,89.2,24.3,29.5,여름
10,이탈리아음식,2024-06-17,0.0,13.1,88.5,24.8,30.2,여름
11,이탈리아음식,2024-04-19,0.0,10.4,78.2,17.6,24.3,봄
12,이탈리아음식,2024-07-06,2.8,0.1,0.7,25.1,30.0,여름
13,이탈리아음식,2024-03-29,1.4,2.5,20.0,7.6,12.3,봄
14,이탈리아음식,2024-06-14,0.0,9.1,61.5,26.3,33.0,여름
15,이탈리아음식,2024-06-27,0.0,9.3,62.8,26.3,31.6,여름
16,이탈리아음식,2024-06-22,16.5,0.0,0.0,24.2,26.1,여름
17,이탈리아음식,2024-07-07,28.7,0.6,4.1,24.4,28.2,여름
18,이탈리아음식,2024-06-04,0.0,13.5,92.5,22.8,29.3,여름
19,이탈리아음식,2024-06-29,38.3,6.9,46.9,26.7,32.3,여름
20,이탈리아음식,2024-04-06,0.0,6.6,51.6,12.7,18.9,봄
21,이탈리아음식,2024-07-05,4.1,1.4,9.5,23.4,26.1,여름
22,이탈리아음식,2024-05-30,0.0,0.6,4.1,20.7,24.6,봄
23,이탈리아음식,2024-06-25,0.0,10.7,72.3,22.9,27.2,여름
24,이탈리아음식,2024-05-28,0.0,11.1,76.6,20.4,26.1,봄
25,이탈리아음식,2024-06-23,5.1,3.8,25.7,25.1,30.1,여름
26,이탈리아음식,2024-05-11,31.7,0.1,0.7,17.0,22.0,봄
27,이탈리아음식,2024-03-14,0.0,6.765051162790696,0.0,8.5,15.4,봄
28,이탈리아음식,2024-06-06,0.0,9.3,63.3,24.1,31.4,여름
29,이탈리아음식,2024-06-06,0.0,9.3,63.3,24.1,31.4,여름
30,이탈리아음식,2024-05-18,0.0,11.3,79.0,20.7,26.5,봄
31,이탈리아음식,2024-07-02,65.1,0.0,0.0,23.2,25.2,여름
32,이탈리아음식,2024-05-17,0.0,10.8,75.5,18.3,24.9,봄
33,이탈리아음식,2024-02-21,17.8,0.0,0.0,1.9,4.0,겨울
34,이탈리아음식,2024-06-30,32.2,0.0,0.0,23.5,24.9,여름
35,이탈리아음식,2024-03-11,0.0,6.765051162790696,52.294707572527585,6.2,10.8,봄
36,이탈리아음식,2024-05-02,0.0,12.8,92.8,18.1,23.7,봄
37,이탈리아음식,2024-06-23,5.1,3.8,25.7,25.1,30.1,여름
38,이탈리아음식,2024-06-08,16.9,2.5,17.0,20.3,25.0,여름
39,이탈리아음식,2024-07-05,4.1,1.4,9.5,23.4,26.1,여름
40,이탈리아음식,2024-07-04,3.6,3.4,23.1,26.8,30.6,여름
41,이탈리아음식,2024-06-05,0.0,10.4,70.7,23.6,30.1,여름
42,이탈리아음식,2024-07-04,3.6,3.4,23.1,26.8,30.6,여름
43,이탈리아음식,2024-02-06,0.2,0.0,0.0,1.2,2.9,겨울
44,이탈리아음식,2024-06-15,6.1,3.4,23.0,24.2,28.2,여름
45,이탈리아음식,2024-03-27,0.0,8.8,71.0,10.4,16.2,봄
46,이탈리아음식,2024-06-18,0.0,13.4,90.5,26.0,32.9,여름
47,이탈리아음식,2024-06-16,0.0,13.2,89.2,24.3,29.5,여름
48,이탈리아음식,2024-06-01,0.0,9.4,64.4,20.7,25.2,여름
49,이탈리아음식,2024-06-08,16.9,2.5,17.0,20.3,25.0,여름
50,이탈리아음식,2024-06-12,0.0,11.3,76.9,24.8,31.8,여름
51,이탈리아음식,2024-06-12,0.0,11.3,76.9,24.8,31.8,여름
52,이탈리아음식,2024-05-18,0.0,11.3,79.0,20.7,26.5,봄
53,이탈리아음식,2024-06-22,16.5,0.0,0.0,24.2,26.1,여름
54,이탈리아음식,2024-05-17,0.0,10.8,75.5,18.3,24.9,봄
55,이탈리아음식,2024-04-25,0.0,6.2,45.6,14.4,20.8,봄
56,이탈리아음식,2024-05-22,0.0,10.0,69.4,20.5,25.5,봄
57,이탈리아음식,2024-06-17,0.0,13.1,88.5,24.8,30.2,여름
58,이탈리아음식,2024-02-16,0.0,7.9,73.1,2.3,8.1,겨울
59,이탈리아음식,2024-04-18,0.0,11.7,88.0,17.3,24.9,봄
60,이탈리아음식,2024-06-15,6.1,3.4,23.0,24.2,28.2,여름
61,이탈리아음식,2024-05-09,0.0,12.8,91.4,16.1,21.8,봄
62,이탈리아음식,2024-04-05,0.0,6.2,48.4,14.0,18.8,봄
63,이탈리아음식,2024-01-26,0.0,9.4,93.1,-1.7,4.0,겨울
64,이탈리아음식,2024-06-11,0.0,10.2,69.4,25.4,31.6,여름
65,이탈리아음식,2024-06-27,0.0,9.3,62.8,26.3,31.6,여름
66,이탈리아음식,2024-06-27,0.0,9.3,62.8,26.3,31.6,여름
67,이탈리아음식,2024-06-16,0.0,13.2,89.2,24.3,29.5,여름
68,이탈리아음식,2024-06-08,16.9,2.5,17.0,20.3,25.0,여름
69,이탈리아음식,2024-06-12,0.0,11.3,76.9,24.8,31.8,여름
70,이탈리아음식,2024-02-15,10.9,0.9,8.3,4.5,11.6,겨울
71,이탈리아음식,2024-05-19,0.0,12.6,88.1,21.5,27.9,봄
72,이탈리아음식,2024-05-12,0.0,11.4,80.9,16.6,21.6,봄
73,이탈리아음식,2024-04-27,0.0,12.5,91.9,18.2,26.2,봄
74,이탈리아음식,2024-05-02,0.0,12.8,92.8,18.1,23.7,봄
75,이탈리아음식,2024-06-16,0.0,13.2,89.2,24.3,29.5,여름
76,이탈리아음식,2024-03-10,0.0,10.9,93.2,4.2,10.6,봄
77,이탈리아음식,2024-04-28,0.0,11.4,83.2,20.7,28.9,봄
78,이탈리아음식,2024-05-30,0.0,0.6,4.1,20.7,24.6,봄
79,이탈리아음식,2024-05-04,0.0,12.5,89.9,21.4,28.5,봄
80,이탈리아음식,2024-06-11,0.0,10.2,69.4,25.4,31.6,여름
81,이탈리아음식,2024-06-17,0.0,13.1,88.5,24.8,30.2,여름
82,이탈리아음식,2024-05-13,0.0,13.1,92.9,18.3,24.5,봄
83,이탈리아음식,2024-02-21,17.8,0.0,0.0,1.9,4.0,겨울
84,이탈리아음식,2024-04-21,0.0,1.0,7.5,17.2,21.7,봄
85,이탈리아음식,2024-05-20,0.0,0.5,3.5,19.4,22.8,봄
86,이탈리아음식,2023-12-29,0.0,1.8,18.8,1.3,4.6,겨울
87,이탈리아음식,2024-05-07,2.4,0.0,0.0,13.3,15.0,봄
88,이탈리아음식,2024-03-07,2.1,2.5,21.6,3.9,8.2,봄
89,이탈리아음식,2024-05-16,0.1,13.1,92.3,13.7,19.8,봄
90,이탈리아음식,2024-05-16,0.1,13.1,92.3,13.7,19.8,봄
91,이탈리아음식,2024-06-01,0.0,9.4,64.4,20.7,25.2,여름
92,이탈리아음식,2024-03-13,0.0,10.9,91.6,6.5,12.0,봄
93,이탈리아음식,2024-05-12,0.0,11.4,80.9,16.6,21.6,봄
94,이탈리아음식,2024-05-23,0.0,12.7,88.2,20.2,26.4,봄
95,이탈리아음식,2024-05-30,0.0,0.6,4.1,20.7,24.6,봄
96,이탈리아음식,2024-01-09,1.6,0.0,0.0,-0.6,0.4,겨울
97,이탈리아음식,2024-04-27,0.0,12.5,91.9,18.2,26.2,봄
98,이탈리아음식,2024-06-21,0.0,10.3,69.6,28.1,33.9,여름
99,이탈리아음식,2024-04-28,0.0,11.4,83.2,20.7,28.9,봄
100,베트남음식,2024-07-01,0.0,8.3,56.5,26.3,31.3,여름
101,베트남음식,2024-06-23,5.1,3.8,25.7,25.1,30.1,여름
102,베트남음식,2024-05-27,0.0,9.9,68.3,18.5,22.6,봄
103,베트남음식,2024-06-12,0.0,11.3,76.9,24.8,31.8,여름
104,베트남음식,2024-05-21,0.0,9.4,65.3,21.7,28.3,봄
105,베트남음식,2024-05-28,0.0,11.1,76.6,20.4,26.1,봄
106,베트남음식,2024-05-28,0.0,11.1,76.6,20.4,26.1,봄
107,베트남음식,2024-06-01,0.0,9.4,64.4,20.7,25.2,여름
108,베트남음식,2024-05-21,0.0,9.4,65.3,21.7,28.3,봄
109,베트남음식,2024-06-22,16.5,0.0,0.0,24.2,26.1,여름
110,베트남음식,2024-06-18,0.0,13.4,90.5,26.0,32.9,여름
111,베트남음식,2024-05-18,0.0,11.3,79.0,20.7,26.5,봄
112,베트남음식,2024-06-18,0.0,13.4,90.5,26.0,32.9,여름
113,베트남음식,2024-05-01,0.0,9.8,71.0,18.5,24.0,봄
114,베트남음식,2024-04-29,0.0,8.8,64.2,20.9,26.1,봄
115,베트남음식,2024-06-11,0.0,10.2,69.4,25.4,31.6,여름
116,베트남음식,2024-04-11,0.0,4.0,30.8,15.5,21.1,봄
