가게 이름,댓글,날짜,강수량,최고기온(℃),평균기온(℃),최저기온(℃),일조합(hr),일조율(%),일사합(MJ/m2),계절,날씨,ㅁ,눈
이탈리아음식,10년 전부터 종종 바비레드 레드크림파스타 먹으러 가는데 한결같이 맛있어요ㅎㅎ 강남본점 리뉴얼 오픈 되어서 방문했는데 모던하고 감각적인 인테리...,2024-05-27,0.0,22.6,18.5,14.1,9.9,68.3,26.89,봄,맑음,,
이탈리아음식,"음식도 맛있고 분위기도 정말 좋아요!!
그리고 룸도 있어서 모임하기 좋겠더라구요~
다음에 또 방문하고 싶은 맛집~~추천합니당",2024-07-05,4.1,26.1,23.4,21.3,1.4,9.5,11.25,여름,비,,
이탈리아음식,강남역 데이트장소로도 유명한 바비레드에서 인기많 은 레드크림파스타 곱빼기로 먹었어요!! ㅋㅋ 양도 많 고 너무 맛있는데 갈비까지 통으로 많이 들어있...,2024-06-13,0.0,32.8,26.4,20.0,13.3,90.5,29.8,여름,맑음,,
이탈리아음식,"인테리어 깔끔하고 맛과 가성비 좋은 곳 레드크림 파
스타 로제맛 나고 양도 많아요/맵기 조절가능 밥이 빨
간색~ 아하 그래서 밥이레드군요 ㅎㅎ 샐러드 ...",2024-06-19,0.0,35.8,28.8,21.4,13.0,87.8,28.25,여름,맑음,,
이탈리아음식,"레드크림파스타 (소갈비가 들어가있고, 레드크림 파 스타가 단계별로 선택 가능하고 너무 맛있었어요 조 합이 아주 훌륭해요 !! 레드크림 파스타 (곱빼...",2024-05-03,0.0,27.9,19.7,12.2,12.8,92.8,28.28,봄,맑음,,
이탈리아음식,리뉴얼 됐는지 인테리어가 더 깔끔해졌어요! 메뉴도 업그레이드…? 세트메뉴 먹었는데 가성비는 그다지 못 느꼈고… 샐러드는 맛있었어요! 파스타는 덜...,2024-05-12,0.0,21.6,16.6,11.9,11.4,80.9,28.91,봄,맑음,,
이탈리아음식,샐러드랑 파스타 너무 맛있어요!!! 분위기도 좋아서 왜 데이트하러 많이들 오시는지 알겠더라구요ㅎㅎ시그 니처메뉴인 파스타는 소스랑 면도 잘어울리지...,2024-06-07,0.8,28.0,23.1,18.3,7.1,48.3,20.41,여름,비,,
이탈리아음식,양도진짜많고 고기도 맛있고 파스타도 맛있어요 파 스타가 좀 퓨전느낌인데 매운맛 좋아하시는분들 강추 합니다 청첩장모임 하기에도 너무 이쁜곳 이벤...,2024-05-17,0.0,24.9,18.3,10.8,10.8,75.5,24.4,봄,맑음,,
이탈리아음식,친구 추천받고 왔는데 말듣고 오길 정말 잘했어요! 처 음에 생각하고 온 메뉴 두개도 마침 딱 세트로 묶여있 어서 확실이 이게 맛있는 메뉴구나! 했는데 플...,2024-06-01,0.0,25.2,20.7,17.5,9.4,64.4,27.02,여름,맑음,,
이탈리아음식,"친구랑 엄청 자주 오던 곳인데 인테리어가 밝게 바꼈
다 데이트 하는 분들이 오기 좋을듯 맵기조절도 돼서 
매운거 좋아하는 사람 무조건 와야됨 추천!",2024-06-16,0.0,29.5,24.3,19.9,13.2,89.2,30.02,여름,맑음,,
